Karlstad Solglimten Scoutkår;Långtäppan i Rud, Karlstad;121.1;59.409;13.513
Karlstads scoutkår;Skidbacksvägen 2, Karlstad;121.2;59.392;13.532
Sunne KFUK-KFUM Scoutkår;Sunne Församlingshem, Sunne;122.7;59.733;13.199
Equmeniascout Karlstad;Östra Torggatan 18, Karlstad;123.2;59.382;13.504
Grava Scoutkår;Karlsgrundsvägen 7, Karlstad;123.2;59.435;13.436
Valla Sköldinge scoutkår;Häringeskolan, Sturevägen 43, Valla;123.4;59.021;16.377
SMU i Sunne;Långgatan 37, Sunne;123.4;59.841;13.142
Equmenia Skårekyrkan;Ilandavägen 43, Karlstad;123.7;59.432;13.43
Katrineholms scoutkår;Stalls backe, Katrineholm;123.8;58.981;16.233
Gävle södra scoutkår;Vinddraget 13 B, Gävle;124.1;60.652;17.137
Karlstads sjöscoutkår;Tullhusgatan 27, Karlstad;124.1;59.37;13.5
Dömle scoutkår;;124.3;59.376;13.487
Salt Scout Askersund EFS;EFS Kyrkan, Gårdsjögatan 23, Askersund;125.3;58.888;14.903
Mora scoutkår;Näsuddsvägen, Kråkberg;125.4;61.046;14.526
Gävle sjöscouter;Kaplansgatan 6, Gävle;125.6;60.673;17.139
SBUF Ungdomsråd Västra Ämtervik;SBUF Ungdomsråd Västra Ämtervik Värmlands  Ingebygatan 7, VÄSTRA ÄMTERVIK;125.8;59.73;13.145
Maria scoutkår;Gråstensvägen 19 NB, Gävle;126.0;60.692;17.12
Flens Scoutkår av NSF;Storgatan 4, Flen;126.0;59.06;16.59
Equmeniascout i Betlehemskyrkan, Gävle;Waldenströmsplan 1, Gävle;126.1;60.672;17.152
SMU i Askersund;Hospitalgatan 11, Askersund;126.1;58.881;14.904
Sannerudskyrkans Ungdom;Bjurbäcksg. 1, Kil;126.1;59.502;13.306
SMU i Västra Ämtervik;Gamla Landsvägen 11, Västra Ämtervik;126.2;59.731;13.136
SMU i Ockelbo;Missionskyrkan, Norra Åsgatan 26, Ockelbo;126.6;60.897;16.72
Västerstrands scoutkår;Lusthusvägen 7, Karlstad;126.7;59.367;13.45
Borgenkyrkan ung;Borgenkyrkan, Södra Esplanaden 13, Tierp;127.3;60.341;17.512
Equmenia Hammarö;Bärstavägen 1, Hammarö;127.4;59.324;13.494
Karlsro scoutkår;Blodstensvägen 54, Uppsala;128.4;59.837;17.603
Svartbäcken scoutkår;Folkungagatan 23D, Uppsala;128.7;59.875;17.619
SMU i Gamla Uppsala;Regins Väg 1, Uppsala;129.6;59.894;17.638
Testebo scoutkår;Spartallsvägen 107, Gävle;129.6;60.718;17.162
Valsätrakyrkans scoutkår;Bernadottevägen 48, Uppsala;129.8;59.819;17.622
SMU i Frykerud;Arvikavägen 20, Fagerås;129.8;59.518;13.218
Scoutkåren Frälsningsarmén Uppsala;S:t Persgatan 20, Uppsala;130.1;59.861;17.64
Fyrisåns sjöscoutkår;Kantorsgatan 34 (1 tr ner), Uppsala;130.2;59.873;17.645
SMU i Torsby;Tingshusgatan 2, Torsby;130.4;60.134;13.004
Tallin scoutkår;;130.4;59.869;17.648
Fyriskåren;Vårdsätravägen 4, Uppsala;130.5;59.83;17.639
Rudsjö scoutkår;Kastsjöstigen 22, Gävle;130.9;60.676;17.254
Wasakåren;Sjövägen Sunnersta, Uppsala;131.4;59.785;17.639
SMU i Orsa;Frelins Gränd 25, Orsa;131.5;61.119;14.619
Equmenia Storvreta;Norrskensvägen 15, Storvreta;132.3;59.953;17.695
Bålsta FKU;;132.4;59.57;17.531
Håbo scoutkår;Ullevivägen 74, Bålsta;132.4;59.57;17.531
Salabacke scoutkår;Kummingatan 25, Uppsala;132.9;59.863;17.691
Wasakåren, Nåntunastugan;Vävstolsvägen, Uppsala;133.3;59.818;17.684
Ärentuna scoutkår;Skogsvallsvägen 19, Storvreta;133.4;59.955;17.715
SMU i Hille;Missionskyrkan, Fransbovägen 4, Gävle;134.1;60.766;17.189
Wattholma scoutkår;Malmvågsvägen 6, Vattholma;134.4;60.016;17.736
Equmenia Örbyhus;Tegelsmoravägen 29, Örbyhus;134.9;60.231;17.706
Almtuna scoutkår;Vaksala-Åby 68, Uppsala;135.6;59.902;17.748
Sparreholms scoutkår;Gilwellstugan, Sparreholm;135.9;59.044;16.838
Vadsbro-Blacksta scoutkår;Blacksta skola, Flen;137.0;58.957;16.633
Knivsta scoutkår;Lippinge, Knivsta;139.4;59.741;17.766
SMU i Västland;Missionskyrkan, Nöttövägen 3, Karlholmsbruk;140.0;60.519;17.624
Scoutkåren Skeppet;Stora Gatan 28, Sigtuna;141.0;59.617;17.727
Barn och ungdom i Gredelbykyrkan;Tomtebovägen 12, Knivsta;141.4;59.729;17.796
SMU i Gårdskär;Skubbviksvägen 9, Skutskär;141.9;60.61;17.573
Finspång scoutkår;Aspnäs, Finspång;141.9;58.734;15.724
SMU i Grums;Grönbergsgatan 7, Grums;143.8;59.353;13.11
SMU i Östra Värmskog;Krokseruds missionshus, Grums;144.2;59.345;13.111
SMU i Hållnäs-Skärplinge;Skärplinge Missionskyrka, Skärplinge;144.9;60.474;17.758
Equmenia Ung i Finspång;Slottsvägen 13, Finspång;145.2;58.709;15.781
Finspångs Scoutkår NSF;Torstorpsvägen 1D, Finspång;145.9;58.7;15.751
SMU i Brunskog;Kyrksvängen 10, Edane;146.7;59.629;12.815
Märsta scoutkår;Tallstigen 1, Märsta Sigtuna;147.3;59.625;17.85
Tibble sjöscoutkår;Prästhagsvägen 21, Kungsängen Upplands-Bro;148.0;59.478;17.755
Turinge scoutkår;Allévägen 8, Nykvarn;149.0;59.184;17.431
Rosersbergs scoutkår;Åkervägen 19, Rosersberg Sigtuna;150.8;59.579;17.885
Kallhälls scoutkår;Slammertorp Kallhäll, Järfälla;151.6;59.447;17.797
Färingsö Sjöscoutkår;Herman Palms Plan 8, Stenhamra Ekerö;151.9;59.334;17.688
Gnesta scoutkår;Jagbacken, Frustuna, Gnesta;152.6;59.059;17.302
Alunda scoutkår Granen;Församlingshemmet Klockarbacken Prästgårdsv. 18, Alunda;152.8;60.061;18.066
Furuhöjdskyrkans Ungdomsförening;Torpvägen 9A, Alunda;153.2;60.065;18.073
Equmenia-scout Gunnarskog;Årbottens Missionshus, Gunnarskog;153.3;59.799;12.616
Svärtinge scoutkår;Utsiktsvägen 62, Svärtinge;153.5;58.659;16.013
Viksjö scoutkår;Ekollongränd 2, Järfälla;153.6;59.403;17.795
SMU i Skog;Kallbäck, Stråtjära;153.6;61.161;16.814
Upplands Väsby scoutkår;Bryggerivägen 10, Upplands Väsby;153.8;59.526;17.904
Equmenia Jakobsbergskyrkan;Kvarnplan 20, Järfälla;154.4;59.423;17.829
Equmenia Scout Upplands Väsby;Herrgårdsvägen 45, Upplands Väsby;154.7;59.52;17.916
Åby Scoutkår;Konsumvägen 1, Åby;155.1;58.67;16.184
Älvdalens baptisters ungdom;Dalgatan 95, Älvdalen;155.1;61.231;14.036
S:t Tomas scoutkår;Karlbergavägen 3, Södertälje;155.2;59.21;17.602
Jakobsbergs scoutkår;Stubben Säby Gård, Järfälla;155.8;59.426;17.859
Rotebro Scoutkår;Ytterbyvägen 4, Sollentuna;156.0;59.476;17.907
Hässelby scoutkår;Carl Bondes väg 90, Hässelby;156.1;59.381;17.823
